IP,SendSpeed,RecvSpeed,SendTotal,RecvTotal
192.168.30.118,0,0,2479240561,114155852995
172.20.0.94,1453,8714,2822610908,62103619071
172.20.0.140,0,0,1968876151,57942386436
172.20.2.90,20,32,2402792338,49178513789
172.20.7.188,0,0,11212265322,23353614522
172.20.0.110,0,0,1114928305,33287553863
172.20.0.151,0,0,595895986,21500417780
172.20.7.108,0,0,1250366335,20116969696
172.20.7.187,0,0,10116648719,7864502691
172.20.0.147,0,0,481936360,14405879813
172.20.0.9,0,0,12301444039,1415189548
172.20.0.81,0,0,556990714,12375312801
172.20.0.163,0,0,759872898,11777356291
172.20.0.136,0,0,1986868715,10510855264
172.20.0.138,0,0,1239180729,10837970232
192.168.30.121,61,86,601261646,10778108659
172.20.0.217,0,0,682479799,10668528748
172.20.7.211,0,0,561792028,9808582163
172.20.0.105,253,1367,1311082302,8926374662
172.20.0.134,0,0,723298280,9310069345
172.20.0.85,0,0,683174645,9191906987
172.20.0.133,0,0,885242113,8744411460
172.20.0.164,0,0,435414164,8758542734
172.20.0.135,0,0,2007684773,6972075839
172.20.0.75,0,0,428172588,8521497404
172.20.6.26,0,0,6138301269,2762455138
172.20.0.104,0,0,343673851,8396943280
192.168.30.216,0,0,158874158,8538873035
172.20.0.69,0,0,1435765091,7047733813
172.20.0.248,0,0,356362441,8019311447
172.20.0.153,0,0,355211224,7911528727
172.20.0.119,0,0,151304754,7871453472
172.20.0.152,0,0,3493416847,4490547915
172.20.0.41,0,0,3417874275,4455727748
172.20.0.122,0,0,380228557,7419006659
192.168.20.244,0,0,474633010,7268959628
172.20.0.191,0,0,492543022,6764082305
172.20.0.132,0,0,291100713,6934833945
172.20.0.123,0,0,891976407,6190277532
172.20.7.200,0,0,833414468,6175571422
172.20.0.235,0,0,437858448,6449527608
172.20.7.191,0,0,530592074,6229894249
172.20.0.42,0,0,399386465,6290304096
172.20.0.165,0,0,723505839,5938883973
172.20.0.128,0,0,283919562,5782509744
172.20.0.179,0,0,1639299550,4345604684
172.20.0.206,16,16,625136021,5330954757
172.20.0.107,79,196,286069399,5554180276
172.20.0.55,0,0,164277576,5446887230
172.20.0.230,0,0,243708347,5258977407
192.168.30.113,0,0,209735800,5164880448
172.20.0.239,0,0,215816103,5139446730
172.20.0.157,0,0,292130217,4989037734
172.20.0.83,0,0,318703213,4852552387
172.20.0.103,0,0,411292287,4747465694
172.20.2.11,0,0,148937443,5000593588
172.20.6.31,0,0,3109025190,2015791392
172.20.7.122,0,0,187211599,4798127662
172.20.0.126,0,0,276914294,4645276211
172.20.0.212,0,0,245608588,4651398175
172.20.7.254,0,0,178689354,4540146931
172.20.0.66,0,0,166624991,4407705974
172.20.7.193,0,0,217789127,4202356030
172.20.0.211,0,0,194210684,4095695553
172.20.7.177,0,0,142043725,4074138922
172.20.7.217,0,0,190671166,4024503786
172.20.0.115,0,0,217929984,3991725771
172.20.6.34,417,130,3087039899,953024584
172.20.6.40,0,0,3809750140,167386752
172.20.7.149,0,0,108091527,3851451413
192.168.20.119,0,0,263822921,3667846711
172.20.0.200,0,0,222471652,3689561555
192.168.30.103,0,0,1526215524,2255215656
172.20.7.192,0,0,487110206,3254573452
172.20.0.72,0,0,185363299,3547439952
172.20.0.214,0,0,94997478,3551530884
172.20.0.86,0,0,91454436,3494663048
172.20.0.241,0,0,233663062,3350035408
172.20.0.202,0,0,152218876,3406236737
172.20.0.170,8,8,450462952,3092779041
172.20.0.93,0,0,71337619,3402240830
172.20.7.183,0,0,229277482,3240154469
172.20.7.105,0,0,246055224,3205394898
172.20.0.137,0,0,722782685,2728066628
192.168.30.108,0,0,298989177,3114441835
192.168.20.116,0,0,140487576,3234433132
172.20.0.64,0,0,459719313,2877167564
172.20.0.180,1068,1241,321835444,3003098894
172.20.0.80,0,0,215186967,2997105697
172.20.0.97,0,0,144031129,3022288047
172.20.0.77,0,0,325943180,2803445067
192.168.20.110,0,0,217737871,2865813235
172.20.7.111,0,0,212859487,2795527755
172.20.7.181,0,0,178737563,2793134899
172.20.0.209,0,0,213464349,2732154536
172.20.0.182,0,0,418405342,2508120046
172.20.0.196,0,0,121180427,2740099979
172.20.0.174,0,0,72131539,2775345768
172.20.0.247,0,0,264088397,2494404309
172.20.0.244,0,0,434362627,2314226718
172.20.7.199,0,0,162715316,2567106187
172.20.0.127,0,0,382724199,2340609868
172.20.0.187,1308,507,500787826,2200928462
172.20.0.142,0,0,137027595,2553557599
172.20.7.206,0,0,198906571,2454013344
172.20.0.106,0,0,122558472,2527415751
172.20.0.149,0,0,404148354,2205944762
172.20.0.227,0,0,236985304,2313929308
172.20.0.168,0,0,572836100,1759317743
172.20.0.159,0,0,123834170,2149089625
172.20.0.158,0,0,720395883,1550062666
172.20.0.121,0,0,1139120323,1093027332
172.20.0.148,0,0,124510052,2103966801
172.20.0.84,0,0,197743601,2028338451
172.20.7.180,0,0,750178575,1441498875
172.20.7.163,0,0,604757719,1557435746
172.20.7.164,0,0,576851548,1572505404
172.20.7.186,0,0,238390007,1862868879
192.168.30.101,0,0,249740199,1830006417
172.20.0.221,0,0,284809225,1768559061
172.20.0.169,0,0,168840906,1881731417
172.20.7.176,0,0,70005743,1945882178
172.20.0.112,0,0,111064737,1891682425
192.168.30.106,8,8,294344283,1683700854
172.20.0.249,0,0,143857204,1775667289
192.168.30.104,0,0,61202045,1848128052
172.20.0.240,123,293,227617638,1679242339
172.20.0.68,0,0,152286691,1750234065
172.20.7.103,0,0,211039706,1689072030
172.20.0.243,0,0,196076366,1688686554
192.168.30.119,0,0,360532817,1516839666
172.20.0.44,0,0,634073864,1178112454
172.20.0.238,0,0,616583106,1191608957
172.20.0.79,0,0,138532173,1623304049
172.20.7.109,0,0,172625491,1579699656
172.20.0.87,0,0,89131228,1645883670
172.20.7.145,0,0,1576223592,155340487
172.20.0.139,0,0,435491638,1294326152
172.20.0.130,0,0,265254429,1447775790
172.20.7.231,0,0,58906079,1644735043
172.20.0.82,0,0,118936254,1527389006
192.168.30.219,0,0,179592418,1465350901
172.20.0.218,0,0,106693708,1535365179
172.20.0.109,0,0,90134104,1545925142
172.20.0.208,0,0,196818285,1405865138
172.20.0.166,0,0,296252558,1299256317
172.20.6.28,8,8,466487816,1122674862
172.20.0.177,0,0,132458159,1456023128
172.20.0.189,0,0,281013355,1297888531
172.20.7.209,0,0,67363518,1493572412
172.20.0.188,0,0,156043416,1396769835
